Country,IDH,Population,combined figures (kg/capita/year),Household estimate (kg/capita/year),Household estimate (tonnes/year),Retail estimate (kg/capita/year),Retail estimate (tonnes/year),Food service estimate (kg/capita/year),Food service estimate (tonnes/year),Confidence in estimate,M49 code,Region
Czechia,"0,895",10.526.000,109,70,746840,13,136943,26,273327,Low Confidence,203,Eastern Europe
Dem. Rep. of the Congo,"0,481​",99.010.000,147,103,8912903,16,1357425,28,2399593,Very Low Confidence,180,Sub-Saharan Africa
Denmark,"0,952​",5.903.000,132,81,469449,30,172003,21,119134,High Confidence,208,Northern Europe
Djibouti,"0,515​",1.121.000,144,100,96962,16,15227,28,26918,Very Low Confidence,262,Sub-Saharan Africa
Dominica,"0,740​",73.000,116,72,5201,16,1123,28,1985,Very Low Confidence,212,Latin America and the Caribbean
Dominican Republic,"0,766​",11.229.000,116,72,777849,16,167960,28,296913,Very Low Confidence,214,Latin America and the Caribbean
Ecuador,"0,765​",18.001.000,116,72,1258415,16,271729,28,480349,Very Low Confidence,218,Latin America and the Caribbean
Egypt,"0,728​",110.990.000,135,91,9136941,16,1570093,28,2775538,Very Low Confidence,818,Northern Africa
El Salvador,"0,674",6.336.000,124,80,516828,16,100936,28,178430,Very Low Confidence,222,Latin America and the Caribbean
Equatorial Guinea,"0,65",1.675.000,136,92,124670,16,21208,28,37491,Very Low Confidence,226,Sub-Saharan Africa
Eritrea,"0,493​",3.684.000,147,103,359132,16,54695,28,96688,Very Low Confidence,232,Sub-Saharan Africa
Estonia,"0,899​",1.345.000,100,78,102743,5,6243,17,22013,Medium Confidence,233,Northern Europe
Eswatini,"0,610​",1.202.000,144,100,114341,16,17957,28,31743,Very Low Confidence,748,Sub-Saharan Africa
Ethiopia,"0,492​",123.380.000,136,92,10327236,16,1752936,28,3098760,Very Low Confidence,231,Sub-Saharan Africa
Fiji,"0,729​",930.000,120,76,67385,16,13920,28,24607,Very Low Confidence,242,Melanesia
Finland,"0,942​",5.557.000,101,65,361937,13,70875,23,128927,Low Confidence,246,Northern Europe
France,"0,910​",67.936.000,135,85,5522358,26,1667568,24,1594579,Medium Confidence,250,Western Europe
Gabon,"0,693​",2.389.000,136,92,199748,16,33980,28,60068,Very Low Confidence,266,Sub-Saharan Africa
Gambia,"0,495​",2.706.000,147,103,241095,16,36719,28,64909,Very Low Confidence,270,Sub-Saharan Africa
Georgia,"0,814",3.713.000,145,101,403573,16,62511,28,110504,Very Low Confidence,268,Western Asia
Germany,"0,95",84.080.000,102,75,6263775,6,498244,21,1718433,High Confidence,276,Western Europe
Ghana,"0,602",33.476.000,128,84,2555332,16,475743,28,840996,Very Low Confidence,288,Sub-Saharan Africa
Greece,"0,893​",10.567.000,175,142,1483996,7,77332,26,267812,Medium Confidence,300,Southern Europe
Grenada,"0,793",125.000,116,72,8112,16,1752,28,3097,Very Low Confidence,308,Latin America and the Caribbean
Guatemala,"0,629​",17.358.000,116,72,1273466,16,274979,28,486095,Very Low Confidence,320,Latin America and the Caribbean
Guinea,"0,471​",13.859.000,147,103,1311530,16,199744,28,353099,Very Low Confidence,324,Sub-Saharan Africa
Guinea-Bissau,"0,483​",2.106.000,147,103,197266,16,30043,28,53109,Very Low Confidence,624,Sub-Saharan Africa
Guyana,"0,742​",809.000,116,72,56700,16,12243,28,21643,Very Low Confidence,328,Latin America and the Caribbean
Haiti,"0,552​",11.585.000,127,83,936940,16,176157,28,311403,Very Low Confidence,332,Latin America and the Caribbean
Honduras,"0,624​",10.433.000,124,80,780504,16,152431,28,269461,Very Low Confidence,340,Latin America and the Caribbean
